epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.135,1.34024,1.84512,1.36238,0.63266,0.54594,0.57728,0.32958,1.37482,1.43582,1.48135,0.000475223,0.000475223,0.000475223
2,66.425,1.3112,1.42467,1.35239,0.6904,0.52708,0.59163,0.34167,1.35157,1.32805,1.45015,0.000942136,0.000942136,0.000942136
3,99.8077,1.33469,1.35131,1.36301,0.73327,0.54524,0.61643,0.3481,1.37023,1.21694,1.47535,0.00139962,0.00139962,0.00139962
4,127.195,1.32403,1.25078,1.34884,0.70826,0.60323,0.6665,0.38693,1.32865,1.22859,1.42205,0.00138656,0.00138656,0.00138656
5,154.848,1.28339,1.19031,1.3256,0.61807,0.59713,0.61738,0.36633,1.30309,1.16605,1.38294,0.00137241,0.00137241,0.00137241
6,182.144,1.26687,1.13852,1.31366,0.72024,0.6311,0.68059,0.39514,1.28395,1.08135,1.36197,0.00135826,0.00135826,0.00135826
7,209.428,1.24492,1.08943,1.3021,0.75296,0.63831,0.71208,0.43433,1.23165,1.04021,1.33754,0.00134412,0.00134412,0.00134412
8,236.443,1.24587,1.07228,1.3004,0.77249,0.65887,0.73332,0.45436,1.22278,0.90844,1.32785,0.00132997,0.00132997,0.00132997
9,263.492,1.20322,1.02164,1.27948,0.77047,0.65753,0.73304,0.44499,1.2053,0.91387,1.31168,0.00131582,0.00131582,0.00131582
10,290.592,1.21884,1.02134,1.28198,0.7598,0.67719,0.74397,0.45559,1.20169,0.8893,1.30949,0.00130168,0.00130168,0.00130168
11,317.75,1.18613,0.98288,1.25897,0.71982,0.64242,0.70072,0.43068,1.24286,1.15304,1.34002,0.00128753,0.00128753,0.00128753
12,345.065,1.20268,0.97823,1.25795,0.75575,0.67929,0.7429,0.46517,1.18421,0.92296,1.29531,0.00127338,0.00127338,0.00127338
13,372.156,1.18013,0.96058,1.25572,0.80266,0.70503,0.77472,0.48294,1.18207,0.83112,1.29445,0.00125923,0.00125923,0.00125923
14,399.23,1.17076,0.92651,1.24628,0.81098,0.70726,0.78247,0.49557,1.15192,0.79108,1.26815,0.00124509,0.00124509,0.00124509
15,426.226,1.17367,0.93775,1.25753,0.84176,0.68566,0.77582,0.49483,1.14936,0.82208,1.2663,0.00123094,0.00123094,0.00123094
16,453.384,1.17488,0.92791,1.24386,0.76041,0.68121,0.7516,0.47218,1.18512,0.97225,1.29201,0.00121679,0.00121679,0.00121679
17,482.469,1.15518,0.89235,1.23048,0.82152,0.72306,0.79025,0.49894,1.1442,0.77983,1.25563,0.00120265,0.00120265,0.00120265
18,512.041,1.14171,0.88854,1.22647,0.81793,0.73487,0.79998,0.51162,1.12655,0.74528,1.24542,0.0011885,0.0011885,0.0011885
19,540.825,1.14279,0.87683,1.21721,0.81445,0.73234,0.80155,0.5094,1.12746,0.7818,1.23784,0.00117435,0.00117435,0.00117435
20,569.066,1.13253,0.86278,1.22297,0.85342,0.72571,0.80353,0.51221,1.13423,0.74972,1.24862,0.00116021,0.00116021,0.00116021
21,597.323,1.12681,0.85175,1.21688,0.81562,0.73416,0.80411,0.52019,1.12599,0.7687,1.24014,0.00114606,0.00114606,0.00114606
22,626.045,1.12697,0.84131,1.21464,0.83988,0.7367,0.82052,0.52773,1.10748,0.72369,1.22866,0.00113191,0.00113191,0.00113191
