image,issue_count,main_issue,issue_types,max_severity,needs_review_reason,review_result,label_fix_needed,memo
construction_image1162.jpg,22,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, FP_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image536.jpg,22,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image129.jpg,19,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, FP_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image308.jpg,19,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, FP_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1156.jpg,16,Localization_Error,"FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1368.jpg,16,Localization_Error,"FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image307.jpg,15,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, FP_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image659.jpg,13,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image796.jpg,12,Localization_Error,"FP_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box, Too_Wide_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image126.jpg,11,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image920.jpg,11,Localization_Error,"FP_person, Localization_Error, Too_Wide_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1126.jpg,9,Localization_Error,"FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1186.jpg,8,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1233.jpg,8,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1328.jpg,8,Localization_Error,"Crowded_or_Overlapped_Person, Localization_Error, Too_Wide_Box",0.5083,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image222.jpg,7,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image349.jpg,7,Localization_Error,"FN_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1185.jpg,7,Localization_Error,"Crowded_or_Overlapped_Person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1259.jpg,7,Localization_Error,"Crowded_or_Overlapped_Person, Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1285.jpg,6,Localization_Error,"FN_person, FP_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image189.jpg,6,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, Localization_Error, Partial_or_Truncated_Candidate",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image707.jpg,6,Localization_Error,"FN_person, FP_person, Localization_Error, Too_Narrow_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image548.jpg,6,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image632.jpg,6,Localization_Error,"Crowded_or_Overlapped_Person, FP_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1118.jpg,5,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1279.jpg,5,Localization_Error,"FN_person, FP_person, Localization_Error, Partial_or_Truncated_Candidate",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1297.jpg,5,Localization_Error,"FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1355.jpg,5,Localization_Error,"FN_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image665.jpg,5,Localization_Error,"FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image914.jpeg,5,Localization_Error,"FP_person, Localization_Error, Too_Wide_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image1231.jpg,5,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1302.jpg,4,Localization_Error,"FN_person, FP_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1384.jpg,4,Localization_Error,"FN_person, Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1405.jpg,4,Localization_Error,"Crowded_or_Overlapped_Person, FN_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1250.jpg,4,Localization_Error,"FP_person, Localization_Error, Too_Wide_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1117.jpg,4,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image727.jpg,4,Localization_Error,"Localization_Error, Too_Narrow_Box, Too_Wide_Box",0.4304,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1351.jpg,3,Localization_Error,"FN_person, Localization_Error, Too_Wide_Box",1.0000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1202.jpg,3,Localization_Error,"FP_person, Localization_Error, Too_Wide_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1226.jpg,3,Localization_Error,"FP_person, Localization_Error, Partial_or_Truncated_Candidate",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image39.jpeg,3,Localization_Error,"FP_person, Localization_Error, Too_Wide_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image438.jpg,3,Localization_Error,"FP_person, Localization_Error, Partial_or_Truncated_Candidate",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image440.jpg,3,Localization_Error,"FP_person, Localization_Error, Partial_or_Truncated_Candidate",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image677.jpeg,3,Localization_Error,"FP_person, Localization_Error, Too_Narrow_Box",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image69.jpeg,3,Localization_Error,"FP_person, Localization_Error, Partial_or_Truncated_Candidate",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1311.jpg,3,Localization_Error,"Localization_Error, Too_Narrow_Box, Too_Wide_Box",0.6645,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1318.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6234,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image107.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1077.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1180.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1308.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1414.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image433.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image456.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image575.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image583.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image746.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image750.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image1076.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image1293.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Wide_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image231.jpg,3,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate, Too_Narrow_Box",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1334.jpg,3,Localization_Error,"Localization_Error, Too_Narrow_Box, Too_Wide_Box",0.4747,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1349.jpg,3,Localization_Error,"Localization_Error, Too_Narrow_Box, Too_Wide_Box",0.4295,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image631.jpeg,3,Localization_Error,"Localization_Error, Too_Narrow_Box",0.3877,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image152.jpeg,3,Localization_Error,"Localization_Error, Too_Narrow_Box, Too_Wide_Box",0.3787,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image155.jpeg,3,Localization_Error,"Localization_Error, Too_Narrow_Box",0.3273,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image28.jpeg,3,Localization_Error,"Localization_Error, Too_Wide_Box",0.3250,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image949.jpg,2,Localization_Error,"FP_person, Localization_Error",0.8000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1166.jpg,2,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image667.jpg,2,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image939.jpeg,2,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image63.jpg,2,Localization_Error,"Localization_Error, Partial_or_Truncated_Candidate",0.6000,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_test_image1139.jpg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.5397,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1254.jpg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.5246,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1387.jpg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.5239,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1143.jpg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.5103,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image748.jpeg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.4651,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image8.jpeg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.4607,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1159.jpg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.4370,person 박스 위치 또는 크기 정밀도 확인 필요,,,
construction_image1385.jpg,2,Localization_Error,"Localization_Error, Too_Wide_Box",0.4158,person 박스 위치 또는 크기 정밀도 확인 필요,,,
