split,image_path,label_path,line_no,class_id,class_name,x,y,w,h,bbox_w_px,bbox_h_px,bbox_area_ratio,bbox_area_px,aspect_ratio,issues
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,1,0,helmet,0.421102,0.383109,0.101734,0.082469,65.10976000000001,52.78016,0.008389901246,3436.5035503616,1.2336029295856625,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,2,0,helmet,0.245664,0.380945,0.119266,0.078141,76.33024,50.01024,0.009319564506,3817.2936216576,1.5262922153542953,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,3,2,person,0.218617,0.540047,0.216234,0.4565,138.38976,292.16,0.098710821,40431.9522816,0.47367798466593647,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,4,2,person,0.399352,0.550867,0.227484,0.448266,145.58975999999998,286.89024,0.101973342744,41768.2811879424,0.5074754721526951,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,5,2,person,0.76093,0.529328,0.240266,0.482688,153.77024,308.92032,0.115973515008,47502.751747276794,0.4977666732962079,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,6,2,person,0.588852,0.549891,0.225109,0.450219,144.06976,288.14016,0.101348348871,41512.283697561594,0.4999988894293666,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,7,0,helmet,0.729438,0.372289,0.117094,0.095016,74.94016,60.81024,0.011125803504000002,4557.1291152384,1.2323608655384357,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,8,0,helmet,0.553031,0.362555,0.110594,0.071641,70.78016,45.85024,0.007923064754,3245.2873232384,1.5437249619631217,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1000.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1000.txt,1,0,helmet,0.620133,0.377602,0.157797,0.145016,100.99007999999999,92.81024000000001,0.022883089752,9372.9135624192,1.0881351023335355,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1000.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1000.txt,2,2,person,0.480414,0.547508,0.528141,0.567109,338.01023999999995,362.94975999999997,0.299513514369,122680.73548554239,0.9312865780652396,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1001.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1001.txt,1,0,helmet,0.487008,0.134094,0.315797,0.138531,202.11007999999998,88.65983999999999,0.043747674206999994,17919.0473551872,2.279612505504183,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1001.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1001.txt,2,1,vest,0.4395,0.425328,0.367969,0.382906,235.50016,245.05984,0.140897537914,57711.631529574406,0.9609904258486416,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1001.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1001.txt,3,2,person,0.441563,0.501078,0.567312,0.984625,363.07968000000005,630.16,0.558589578,228798.2911488,0.5761706233337566,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1002.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1002.txt,1,2,person,0.398266,0.337664,0.320125,0.562984,204.88,360.30976000000004,0.180225253,73820.2636288,0.5686218436047915,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1002.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1002.txt,2,1,vest,0.401516,0.304219,0.19675,0.171,125.92,109.44000000000001,0.03364425,13780.684799999999,1.1505847953216375,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1002.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1002.txt,3,0,helmet,0.375539,0.188422,0.097609,0.08225,62.46976,52.64,0.00802834025,3288.4081664,1.1867355623100304,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1005.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1005.txt,1,2,person,0.336586,0.127703,0.275109,0.246531,176.06976,157.77984,0.06782289687899999,27780.2585616384,1.115920513038928,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1005.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1005.txt,2,1,vest,0.356391,0.136523,0.1645,0.168516,105.28,107.85024,0.027720882000000002,11354.473267200001,0.9761684350447436,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1005.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1005.txt,3,1,vest,0.555,0.769453,0.40925,0.399219,261.92,255.50016,0.16338037575,66920.6019072,1.025126559607634,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1005.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1005.txt,4,2,person,0.59632,0.633117,0.551734,0.729641,353.10975999999994,466.97024,0.40256774749399993,164891.74937354238,0.7561718708241449,
