split,image_path,label_path,issue,detail
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,dark_image,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,small_bbox_ratio,line 9: 0 0.411258 0.518508 0.043078 0.054109
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,small_bbox_ratio,line 10: 0 0.564937 0.517320 0.047406 0.043078
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1035.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1035.txt,small_bbox_ratio,line 8: 1 0.868078 0.186148 0.056281 0.043078
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image111.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image111.txt,small_bbox_ratio,line 5: 0 0.629883 0.577937 0.058453 0.038969
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1110.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1110.txt,small_bbox_ratio,line 5: 0 0.548719 0.369062 0.025969 0.023812
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1110.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1110.txt,tiny_bbox_px,line 5: 0 0.548719 0.369062 0.025969 0.023812
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1117.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1117.txt,blurry_image,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1117.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1117.txt,class_id_out_of_range,line 1: 3 0.449141 0.170992 0.426625 0.134422
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1118.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1118.txt,class_id_out_of_range,line 1: 3 0.336430 0.238695 0.415641 0.135797
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1118.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1118.txt,class_id_out_of_range,line 2: 3 0.680055 0.233555 0.337453 0.121391
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1119.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1119.txt,class_id_out_of_range,line 1: 3 0.577172 0.183141 0.275719 0.201656
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1122.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1122.txt,class_id_out_of_range,line 4: 3 0.543180 0.281953 0.063859 0.061719
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1122.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1122.txt,class_id_out_of_range,line 5: 3 0.615242 0.302484 0.084359 0.053500
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1122.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1122.txt,class_id_out_of_range,line 6: 3 0.774703 0.312766 0.123469 0.094656
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1123.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1123.txt,class_id_out_of_range,line 1: 3 0.586437 0.319969 0.211937 0.166656
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1124.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1124.txt,class_id_out_of_range,line 6: 3 0.932523 0.463141 0.076547 0.083937
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1124.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1124.txt,class_id_out_of_range,line 7: 3 0.859680 0.468086 0.113578 0.093828
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1124.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1124.txt,class_id_out_of_range,line 8: 3 0.616477 0.482891 0.101234 0.054312
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1124.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1124.txt,class_id_out_of_range,line 9: 3 0.490547 0.461906 0.121000 0.091344
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1124.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1124.txt,class_id_out_of_range,line 10: 3 0.162141 0.500180 0.160531 0.108641
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1126.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1126.txt,class_id_out_of_range,line 5: 3 0.444922 0.316219 0.083906 0.056813
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1126.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1126.txt,class_id_out_of_range,line 6: 3 0.578203 0.356969 0.059250 0.069125
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1128.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1128.txt,class_id_out_of_range,line 1: 3 0.123883 0.222398 0.103703 0.076547
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1128.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1128.txt,class_id_out_of_range,line 2: 3 0.828820 0.300180 0.106172 0.069141
